day,month,year,class_name,location,time_of_day,duration
17,April,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
15,April,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
15,April,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
13,April,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
10,April,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
10,April,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
8,April,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
8,April,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
3,April,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
1,April,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
1,April,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
30,March,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
25,March,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
25,March,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
20,March,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
20,March,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
18,March,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
18,March,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
9,March,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
6,March,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
6,March,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
