day,month,year,category,class_name,location,time_of_day,duration
15,July,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
13,July,2024,Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
10,July,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
10,July,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
10,July,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
3,July,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
3,July,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
2,July,2024,Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
1,July,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
1,July,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
26,June,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
26,June,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
24,June,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
24,June,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
19,June,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
19,June,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
17,June,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
17,June,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
15,June,2024,Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
12,June,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
12,June,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
10,June,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
10,June,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
8,June,2024,Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
6,June,2024,Martial arts,Striking and Clinching,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
5,June,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
5,June,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
3,June,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
3,June,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
1,June,2024,Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
31,May,2024,Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:45:00
30,May,2024,Martial arts,Striking and Clinching,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
29,May,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
29,May,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
29,May,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
29,May,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
22,May,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
22,May,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
20,May,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
20,May,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
15,May,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
15,May,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
13,May,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
11,May,2024,Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
4,May,2024,Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
1,May,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
29,April,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
27,April,2024,Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
24,April,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
24,April,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
22,April,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
